
   211               18 2 miles (3.218km)      
   212               18 2000m tandem           
   213               18 20km                   
   214               18 25 kilometres          
   215               18 25 miles (40.232km)    
   216               18 5 miles (8.046km)      
   217               18 5000m                  
   218               18 500m time trial        
   219               18 50km                   

    ID    DISCIPLINE_ID EVENT                    
______ ________________ ________________________ 
   220               18 Individual Pursuit       
   221               18 Keirin                   
   222               18 Madison                  
   223               18 Olympic Sprint           
   224               18 One lap (660y) sprint    
   225               18 Points Race              
   226               18 Sprint indivual          
   227               18 Team Pursuit (4000m)     
   228               18 Team Sprint              
   229               18 individual pursuit       

    ID    DISCIPLINE_ID EVENT                   
______ ________________ _______________________ 
   230               18 points race             
   231               18 sprint                  
   232               19 cross-country           
   233               20 individual              
   234               20 team                    
   235               21 individual              
   236               21 team                    
   237               22 high jump               
   238               22 individual              
   239               22 long jump individual    

    ID    DISCIPLINE_ID EVENT                       
______ ________________ ___________________________ 
   240               22 team                        
   241               23 figure riding individual    
   242               23 figure riding team          
   243               24 foil individual             
   244               24 foil team                   
   245               24 foil, masters               
   246               24 sabre individual            
   247               24 sabre team                  
   248               24 sabre, masters              
   249               24 stick, single               

    ID    DISCIPLINE_ID EVENT                         
______ ________________ _____________________________ 
   250               24 �p�e individual               
   251               24 �p�e team                     
   252               24 �p�e, amateurs and masters    
   253               24 �p�e, masters                 
   254               25 football                      
   255               26 individual                    
   256               26 team                          
   257               27 Sidehorse vault               
   258               27 balance beam                  
   259               27 club swinging                 

    ID    DISCIPLINE_ID EVENT                   
______ ________________ _______________________ 
   260               27 combined 3 events       
   261               27 combined 4 events       
   262               27 floor exercises         
   263               27 horizontal bar          
   264               27 indian clubs            
   265               27 individual all-round    
   266               27 parallel bars           
   267               27 pommel horse            
   268               27 rings                   
   269               27 rope climbing           

    ID    DISCIPLINE_ID EVENT                       
______ ________________ ___________________________ 
   270               27 team competition            
   271               27 team, Swedish system        
   272               27 team, free system           
   273               27 team, horizontal bar        
   274               27 team, parallel bars         
   275               27 team, portable apparatus    
   276               27 tumbling                    
   277               27 uneven bars                 
   278               27 vault                       
   279               28 group competition           

    ID    DISCIPLINE_ID EVENT                    
______ ________________ ________________________ 
   280               28 individual all-round     
   281               29 individual               
   282               30 handball                 
   283               31 hockey                   
   284               32 ice hockey               
   285               33 individual               
   286               34 + 100kg (heavyweight)    
   287               34 + 72kg (heavyweight)     
   288               34 + 78kg (heavyweight)     
   289               34 + 80kg (heavyweight)     

    ID    DISCIPLINE_ID EVENT                           
______ ________________ _______________________________ 
   290               34 + 93kg (heavyweight)            
   291               34 + 95kg (heavyweight)            
   292               34 - 48 kg                         
   293               34 - 48kg (extra-lightweight)      
   294               34 - 60 kg                         
   295               34 - 63kg (lightweight)            
   296               34 - 68kg (lightweight)            
   297               34 48 - 52kg (half-lightweight)    
   298               34 52 - 56kg (lightweight)         
   299               34 52 - 57kg (lightweight)         

    ID    DISCIPLINE_ID EVENT                            
______ ________________ ________________________________ 
   300               34 56 - 61kg (half-middleweight)    
   301               34 57 - 63kg (half-middleweight)    
   302               34 60 - 65kg (half-lightweight)     
   303               34 60 - 66kg (half-lightweight)     
   304               34 61 - 66kg (middleweight)         
   305               34 63 - 70kg (half-middleweight)    
   306               34 63 - 70kg (middleweight)         
   307               34 65 - 71kg (lightweight)          
   308               34 66 - 72kg (half-heavyweight)     
   309               34 66 - 73kg (lightweight)          

    ID    DISCIPLINE_ID EVENT                            
______ ________________ ________________________________ 
   310               34 68 - 80kg (middleweight)         
   311               34 70 - 78kg (half-heavyweight)     
